,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),State,Area,National_share
0,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Rajasthan,342239.0,10.55
1,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Uttar Pradesh,240928.0,7.33
2,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Ladakh,59146.0,1.8
3,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Himachal Pradesh,55673.0,1.7
4,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Uttarakhand,53483.0,1.62
5,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Punjab,50362.0,1.53
6,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Haryana,44212.0,1.34
7,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Jammu and Kashmir,42241.0,1.28
8,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Delhi,1483.0,0.04
9,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Chandigarh,114.0,0.003
10,2017-09-01,Western,"1,106.89","1,024.33",25.17,3.81,72.0,21.53,Maharashtra,307713.0,9.36
11,2017-09-01,Western,"1,106.89","1,024.33",25.17,3.81,72.0,21.53,Gujarat,196024.0,5.96
12,2017-09-01,Western,"1,106.89","1,024.33",25.17,3.81,72.0,21.53,Goa,3702.0,0.11
13,2017-09-01,Western,"1,106.89","1,024.33",25.17,3.81,72.0,21.53,Dadra and Nagar Haveli and Daman and Diu,603.0,0.01
14,2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78,Karnataka,191791.0,5.83
15,2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78,Andhra Pradesh,162970.0,4.87
16,2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78,Tamil Nadu,130058.0,3.95
17,2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78,Telangana,112077.0,3.49
18,2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78,Kerala,38863.0,1.18
19,2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78,Puducherry,492.0,0.01
20,2017-09-01,Eastern,441.02,429.39,0.0,0.0,85.94,69.36,Odisha,155707.0,4.73
21,2017-09-01,Eastern,441.02,429.39,0.0,0.0,85.94,69.36,Bihar,94163.0,2.86
22,2017-09-01,Eastern,441.02,429.39,0.0,0.0,85.94,69.36,West Bengal,88752.0,2.7
23,2017-09-01,Eastern,441.02,429.39,0.0,0.0,85.94,69.36,Jharkhand,79714.0,2.42
25,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,Rajasthan,342239.0,10.55
26,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,Uttar Pradesh,240928.0,7.33
27,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,Ladakh,59146.0,1.8
28,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,Himachal Pradesh,55673.0,1.7
29,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,Uttarakhand,53483.0,1.62
30,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,Punjab,50362.0,1.53
31,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,Haryana,44212.0,1.34
32,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,Jammu and Kashmir,42241.0,1.28
33,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,Delhi,1483.0,0.04
34,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,Chandigarh,114.0,0.003
35,2017-09-02,Western,"1,106.89","1,050.91",25.17,3.83,72.0,23.97,Maharashtra,307713.0,9.36
36,2017-09-02,Western,"1,106.89","1,050.91",25.17,3.83,72.0,23.97,Gujarat,196024.0,5.96
37,2017-09-02,Western,"1,106.89","1,050.91",25.17,3.83,72.0,23.97,Goa,3702.0,0.11
38,2017-09-02,Western,"1,106.89","1,050.91",25.17,3.83,72.0,23.97,Dadra and Nagar Haveli and Daman and Diu,603.0,0.01
39,2017-09-02,Southern,576.66,562.79,62.73,52.76,111.57,59.49,Karnataka,191791.0,5.83
40,2017-09-02,Southern,576.66,562.79,62.73,52.76,111.57,59.49,Andhra Pradesh,162970.0,4.87
41,2017-09-02,Southern,576.66,562.79,62.73,52.76,111.57,59.49,Tamil Nadu,130058.0,3.95
42,2017-09-02,Southern,576.66,562.79,62.73,52.76,111.57,59.49,Telangana,112077.0,3.49
43,2017-09-02,Southern,576.66,562.79,62.73,52.76,111.57,59.49,Kerala,38863.0,1.18
44,2017-09-02,Southern,576.66,562.79,62.73,52.76,111.57,59.49,Puducherry,492.0,0.01
45,2017-09-02,Eastern,441.02,425.75,0.0,0.0,85.94,74.18,Odisha,155707.0,4.73
46,2017-09-02,Eastern,441.02,425.75,0.0,0.0,85.94,74.18,Bihar,94163.0,2.86
47,2017-09-02,Eastern,441.02,425.75,0.0,0.0,85.94,74.18,West Bengal,88752.0,2.7
48,2017-09-02,Eastern,441.02,425.75,0.0,0.0,85.94,74.18,Jharkhand,79714.0,2.42
50,2017-09-03,Northern,624.23,492.69,30.36,35.65,273.27,316.69,Rajasthan,342239.0,10.55
51,2017-09-03,Northern,624.23,492.69,30.36,35.65,273.27,316.69,Uttar Pradesh,240928.0,7.33
52,2017-09-03,Northern,624.23,492.69,30.36,35.65,273.27,316.69,Ladakh,59146.0,1.8
53,2017-09-03,Northern,624.23,492.69,30.36,35.65,273.27,316.69,Himachal Pradesh,55673.0,1.7
54,2017-09-03,Northern,624.23,492.69,30.36,35.65,273.27,316.69,Uttarakhand,53483.0,1.62
55,2017-09-03,Northern,624.23,492.69,30.36,35.65,273.27,316.69,Punjab,50362.0,1.53
56,2017-09-03,Northern,624.23,492.69,30.36,35.65,273.27,316.69,Haryana,44212.0,1.34
57,2017-09-03,Northern,624.23,492.69,30.36,35.65,273.27,316.69,Jammu and Kashmir,42241.0,1.28
58,2017-09-03,Northern,624.23,492.69,30.36,35.65,273.27,316.69,Delhi,1483.0,0.04
59,2017-09-03,Northern,624.23,492.69,30.36,35.65,273.27,316.69,Chandigarh,114.0,0.003
60,2017-09-03,Western,"1,106.89","1,066.73",25.17,3.8,72.0,13.94,Maharashtra,307713.0,9.36
61,2017-09-03,Western,"1,106.89","1,066.73",25.17,3.8,72.0,13.94,Gujarat,196024.0,5.96
62,2017-09-03,Western,"1,106.89","1,066.73",25.17,3.8,72.0,13.94,Goa,3702.0,0.11
63,2017-09-03,Western,"1,106.89","1,066.73",25.17,3.8,72.0,13.94,Dadra and Nagar Haveli and Daman and Diu,603.0,0.01
64,2017-09-03,Southern,572.16,530.68,62.73,53.12,111.57,47.53,Karnataka,191791.0,5.83
65,2017-09-03,Southern,572.16,530.68,62.73,53.12,111.57,47.53,Andhra Pradesh,162970.0,4.87
66,2017-09-03,Southern,572.16,530.68,62.73,53.12,111.57,47.53,Tamil Nadu,130058.0,3.95
67,2017-09-03,Southern,572.16,530.68,62.73,53.12,111.57,47.53,Telangana,112077.0,3.49
68,2017-09-03,Southern,572.16,530.68,62.73,53.12,111.57,47.53,Kerala,38863.0,1.18
69,2017-09-03,Southern,572.16,530.68,62.73,53.12,111.57,47.53,Puducherry,492.0,0.01
70,2017-09-03,Eastern,445.38,427.61,0.0,0.0,85.94,71.05,Odisha,155707.0,4.73
71,2017-09-03,Eastern,445.38,427.61,0.0,0.0,85.94,71.05,Bihar,94163.0,2.86
72,2017-09-03,Eastern,445.38,427.61,0.0,0.0,85.94,71.05,West Bengal,88752.0,2.7
73,2017-09-03,Eastern,445.38,427.61,0.0,0.0,85.94,71.05,Jharkhand,79714.0,2.42
75,2017-09-04,Northern,624.23,568.34,30.36,35.62,273.27,297.47,Rajasthan,342239.0,10.55
76,2017-09-04,Northern,624.23,568.34,30.36,35.62,273.27,297.47,Uttar Pradesh,240928.0,7.33
77,2017-09-04,Northern,624.23,568.34,30.36,35.62,273.27,297.47,Ladakh,59146.0,1.8
78,2017-09-04,Northern,624.23,568.34,30.36,35.62,273.27,297.47,Himachal Pradesh,55673.0,1.7
79,2017-09-04,Northern,624.23,568.34,30.36,35.62,273.27,297.47,Uttarakhand,53483.0,1.62
80,2017-09-04,Northern,624.23,568.34,30.36,35.62,273.27,297.47,Punjab,50362.0,1.53
81,2017-09-04,Northern,624.23,568.34,30.36,35.62,273.27,297.47,Haryana,44212.0,1.34
82,2017-09-04,Northern,624.23,568.34,30.36,35.62,273.27,297.47,Jammu and Kashmir,42241.0,1.28
83,2017-09-04,Northern,624.23,568.34,30.36,35.62,273.27,297.47,Delhi,1483.0,0.04
84,2017-09-04,Northern,624.23,568.34,30.36,35.62,273.27,297.47,Chandigarh,114.0,0.003
85,2017-09-04,Western,"1,106.89","1,115.43",25.17,3.81,72.0,37.38,Maharashtra,307713.0,9.36
86,2017-09-04,Western,"1,106.89","1,115.43",25.17,3.81,72.0,37.38,Gujarat,196024.0,5.96
87,2017-09-04,Western,"1,106.89","1,115.43",25.17,3.81,72.0,37.38,Goa,3702.0,0.11
88,2017-09-04,Western,"1,106.89","1,115.43",25.17,3.81,72.0,37.38,Dadra and Nagar Haveli and Daman and Diu,603.0,0.01
89,2017-09-04,Southern,572.16,562.81,62.73,53.19,111.57,66.2,Karnataka,191791.0,5.83
90,2017-09-04,Southern,572.16,562.81,62.73,53.19,111.57,66.2,Andhra Pradesh,162970.0,4.87
91,2017-09-04,Southern,572.16,562.81,62.73,53.19,111.57,66.2,Tamil Nadu,130058.0,3.95
92,2017-09-04,Southern,572.16,562.81,62.73,53.19,111.57,66.2,Telangana,112077.0,3.49
93,2017-09-04,Southern,572.16,562.81,62.73,53.19,111.57,66.2,Kerala,38863.0,1.18
94,2017-09-04,Southern,572.16,562.81,62.73,53.19,111.57,66.2,Puducherry,492.0,0.01
95,2017-09-04,Eastern,445.38,450.85,0.0,0.0,85.94,75.21,Odisha,155707.0,4.73
96,2017-09-04,Eastern,445.38,450.85,0.0,0.0,85.94,75.21,Bihar,94163.0,2.86
97,2017-09-04,Eastern,445.38,450.85,0.0,0.0,85.94,75.21,West Bengal,88752.0,2.7
98,2017-09-04,Eastern,445.38,450.85,0.0,0.0,85.94,75.21,Jharkhand,79714.0,2.42
100,2017-09-05,Northern,628.58,597.08,30.36,35.72,273.27,290.23,Rajasthan,342239.0,10.55
101,2017-09-05,Northern,628.58,597.08,30.36,35.72,273.27,290.23,Uttar Pradesh,240928.0,7.33
102,2017-09-05,Northern,628.58,597.08,30.36,35.72,273.27,290.23,Ladakh,59146.0,1.8
103,2017-09-05,Northern,628.58,597.08,30.36,35.72,273.27,290.23,Himachal Pradesh,55673.0,1.7
104,2017-09-05,Northern,628.58,597.08,30.36,35.72,273.27,290.23,Uttarakhand,53483.0,1.62
105,2017-09-05,Northern,628.58,597.08,30.36,35.72,273.27,290.23,Punjab,50362.0,1.53
106,2017-09-05,Northern,628.58,597.08,30.36,35.72,273.27,290.23,Haryana,44212.0,1.34
107,2017-09-05,Northern,628.58,597.08,30.36,35.72,273.27,290.23,Jammu and Kashmir,42241.0,1.28
108,2017-09-05,Northern,628.58,597.08,30.36,35.72,273.27,290.23,Delhi,1483.0,0.04
109,2017-09-05,Northern,628.58,597.08,30.36,35.72,273.27,290.23,Chandigarh,114.0,0.003
110,2017-09-05,Western,"1,106.89","1,131.78",25.17,3.83,72.0,28.78,Maharashtra,307713.0,9.36
111,2017-09-05,Western,"1,106.89","1,131.78",25.17,3.83,72.0,28.78,Gujarat,196024.0,5.96
112,2017-09-05,Western,"1,106.89","1,131.78",25.17,3.83,72.0,28.78,Goa,3702.0,0.11
113,2017-09-05,Western,"1,106.89","1,131.78",25.17,3.83,72.0,28.78,Dadra and Nagar Haveli and Daman and Diu,603.0,0.01
114,2017-09-05,Southern,576.35,575.06,62.73,53.16,111.57,58.0,Karnataka,191791.0,5.83
115,2017-09-05,Southern,576.35,575.06,62.73,53.16,111.57,58.0,Andhra Pradesh,162970.0,4.87
116,2017-09-05,Southern,576.35,575.06,62.73,53.16,111.57,58.0,Tamil Nadu,130058.0,3.95
117,2017-09-05,Southern,576.35,575.06,62.73,53.16,111.57,58.0,Telangana,112077.0,3.49
118,2017-09-05,Southern,576.35,575.06,62.73,53.16,111.57,58.0,Kerala,38863.0,1.18
119,2017-09-05,Southern,576.35,575.06,62.73,53.16,111.57,58.0,Puducherry,492.0,0.01
120,2017-09-05,Eastern,449.92,459.09,0.0,0.0,85.94,70.29,Odisha,155707.0,4.73
121,2017-09-05,Eastern,449.92,459.09,0.0,0.0,85.94,70.29,Bihar,94163.0,2.86
122,2017-09-05,Eastern,449.92,459.09,0.0,0.0,85.94,70.29,West Bengal,88752.0,2.7
123,2017-09-05,Eastern,449.92,459.09,0.0,0.0,85.94,70.29,Jharkhand,79714.0,2.42
125,2017-09-06,Northern,628.58,628.93,30.36,35.86,273.27,296.1,Rajasthan,342239.0,10.55
126,2017-09-06,Northern,628.58,628.93,30.36,35.86,273.27,296.1,Uttar Pradesh,240928.0,7.33
127,2017-09-06,Northern,628.58,628.93,30.36,35.86,273.27,296.1,Ladakh,59146.0,1.8
128,2017-09-06,Northern,628.58,628.93,30.36,35.86,273.27,296.1,Himachal Pradesh,55673.0,1.7
129,2017-09-06,Northern,628.58,628.93,30.36,35.86,273.27,296.1,Uttarakhand,53483.0,1.62
130,2017-09-06,Northern,628.58,628.93,30.36,35.86,273.27,296.1,Punjab,50362.0,1.53
131,2017-09-06,Northern,628.58,628.93,30.36,35.86,273.27,296.1,Haryana,44212.0,1.34
132,2017-09-06,Northern,628.58,628.93,30.36,35.86,273.27,296.1,Jammu and Kashmir,42241.0,1.28
133,2017-09-06,Northern,628.58,628.93,30.36,35.86,273.27,296.1,Delhi,1483.0,0.04
134,2017-09-06,Northern,628.58,628.93,30.36,35.86,273.27,296.1,Chandigarh,114.0,0.003
135,2017-09-06,Western,"1,124.57","1,171.82",25.17,3.84,72.0,40.94,Maharashtra,307713.0,9.36
136,2017-09-06,Western,"1,124.57","1,171.82",25.17,3.84,72.0,40.94,Gujarat,196024.0,5.96
137,2017-09-06,Western,"1,124.57","1,171.82",25.17,3.84,72.0,40.94,Goa,3702.0,0.11
138,2017-09-06,Western,"1,124.57","1,171.82",25.17,3.84,72.0,40.94,Dadra and Nagar Haveli and Daman and Diu,603.0,0.01
139,2017-09-06,Southern,576.35,549.10,62.73,53.41,111.57,58.7,Karnataka,191791.0,5.83
140,2017-09-06,Southern,576.35,549.10,62.73,53.41,111.57,58.7,Andhra Pradesh,162970.0,4.87
141,2017-09-06,Southern,576.35,549.10,62.73,53.41,111.57,58.7,Tamil Nadu,130058.0,3.95
142,2017-09-06,Southern,576.35,549.10,62.73,53.41,111.57,58.7,Telangana,112077.0,3.49
143,2017-09-06,Southern,576.35,549.10,62.73,53.41,111.57,58.7,Kerala,38863.0,1.18
144,2017-09-06,Southern,576.35,549.10,62.73,53.41,111.57,58.7,Puducherry,492.0,0.01
145,2017-09-06,Eastern,449.92,464.82,0.0,0.0,85.94,76.43,Odisha,155707.0,4.73
146,2017-09-06,Eastern,449.92,464.82,0.0,0.0,85.94,76.43,Bihar,94163.0,2.86
147,2017-09-06,Eastern,449.92,464.82,0.0,0.0,85.94,76.43,West Bengal,88752.0,2.7
148,2017-09-06,Eastern,449.92,464.82,0.0,0.0,85.94,76.43,Jharkhand,79714.0,2.42
150,2017-09-07,Northern,628.48,651.03,30.36,35.86,273.27,298.57,Rajasthan,342239.0,10.55
151,2017-09-07,Northern,628.48,651.03,30.36,35.86,273.27,298.57,Uttar Pradesh,240928.0,7.33
152,2017-09-07,Northern,628.48,651.03,30.36,35.86,273.27,298.57,Ladakh,59146.0,1.8
153,2017-09-07,Northern,628.48,651.03,30.36,35.86,273.27,298.57,Himachal Pradesh,55673.0,1.7
154,2017-09-07,Northern,628.48,651.03,30.36,35.86,273.27,298.57,Uttarakhand,53483.0,1.62
155,2017-09-07,Northern,628.48,651.03,30.36,35.86,273.27,298.57,Punjab,50362.0,1.53
156,2017-09-07,Northern,628.48,651.03,30.36,35.86,273.27,298.57,Haryana,44212.0,1.34
157,2017-09-07,Northern,628.48,651.03,30.36,35.86,273.27,298.57,Jammu and Kashmir,42241.0,1.28
158,2017-09-07,Northern,628.48,651.03,30.36,35.86,273.27,298.57,Delhi,1483.0,0.04
159,2017-09-07,Northern,628.48,651.03,30.36,35.86,273.27,298.57,Chandigarh,114.0,0.003
160,2017-09-07,Western,"1,124.57","1,180.30",25.17,3.82,72.0,48.25,Maharashtra,307713.0,9.36
161,2017-09-07,Western,"1,124.57","1,180.30",25.17,3.82,72.0,48.25,Gujarat,196024.0,5.96
162,2017-09-07,Western,"1,124.57","1,180.30",25.17,3.82,72.0,48.25,Goa,3702.0,0.11
163,2017-09-07,Western,"1,124.57","1,180.30",25.17,3.82,72.0,48.25,Dadra and Nagar Haveli and Daman and Diu,603.0,0.01
164,2017-09-07,Southern,585.98,565.52,62.73,53.41,111.57,55.52,Karnataka,191791.0,5.83
165,2017-09-07,Southern,585.98,565.52,62.73,53.41,111.57,55.52,Andhra Pradesh,162970.0,4.87
166,2017-09-07,Southern,585.98,565.52,62.73,53.41,111.57,55.52,Tamil Nadu,130058.0,3.95
167,2017-09-07,Southern,585.98,565.52,62.73,53.41,111.57,55.52,Telangana,112077.0,3.49
168,2017-09-07,Southern,585.98,565.52,62.73,53.41,111.57,55.52,Kerala,38863.0,1.18
169,2017-09-07,Southern,585.98,565.52,62.73,53.41,111.57,55.52,Puducherry,492.0,0.01
170,2017-09-07,Eastern,449.92,461.96,0.0,0.0,85.94,75.34,Odisha,155707.0,4.73
171,2017-09-07,Eastern,449.92,461.96,0.0,0.0,85.94,75.34,Bihar,94163.0,2.86
172,2017-09-07,Eastern,449.92,461.96,0.0,0.0,85.94,75.34,West Bengal,88752.0,2.7
173,2017-09-07,Eastern,449.92,461.96,0.0,0.0,85.94,75.34,Jharkhand,79714.0,2.42
175,2017-09-08,Northern,628.48,689.88,30.36,35.68,273.27,289.16,Rajasthan,342239.0,10.55
176,2017-09-08,Northern,628.48,689.88,30.36,35.68,273.27,289.16,Uttar Pradesh,240928.0,7.33
177,2017-09-08,Northern,628.48,689.88,30.36,35.68,273.27,289.16,Ladakh,59146.0,1.8
178,2017-09-08,Northern,628.48,689.88,30.36,35.68,273.27,289.16,Himachal Pradesh,55673.0,1.7
179,2017-09-08,Northern,628.48,689.88,30.36,35.68,273.27,289.16,Uttarakhand,53483.0,1.62
180,2017-09-08,Northern,628.48,689.88,30.36,35.68,273.27,289.16,Punjab,50362.0,1.53
181,2017-09-08,Northern,628.48,689.88,30.36,35.68,273.27,289.16,Haryana,44212.0,1.34
182,2017-09-08,Northern,628.48,689.88,30.36,35.68,273.27,289.16,Jammu and Kashmir,42241.0,1.28
183,2017-09-08,Northern,628.48,689.88,30.36,35.68,273.27,289.16,Delhi,1483.0,0.04
184,2017-09-08,Northern,628.48,689.88,30.36,35.68,273.27,289.16,Chandigarh,114.0,0.003
185,2017-09-08,Western,"1,124.57","1,189.75",25.17,3.83,72.0,35.86,Maharashtra,307713.0,9.36
186,2017-09-08,Western,"1,124.57","1,189.75",25.17,3.83,72.0,35.86,Gujarat,196024.0,5.96
187,2017-09-08,Western,"1,124.57","1,189.75",25.17,3.83,72.0,35.86,Goa,3702.0,0.11
188,2017-09-08,Western,"1,124.57","1,189.75",25.17,3.83,72.0,35.86,Dadra and Nagar Haveli and Daman and Diu,603.0,0.01
189,2017-09-08,Southern,590.63,549.88,62.73,53.65,111.57,66.92,Karnataka,191791.0,5.83
190,2017-09-08,Southern,590.63,549.88,62.73,53.65,111.57,66.92,Andhra Pradesh,162970.0,4.87
191,2017-09-08,Southern,590.63,549.88,62.73,53.65,111.57,66.92,Tamil Nadu,130058.0,3.95
192,2017-09-08,Southern,590.63,549.88,62.73,53.65,111.57,66.92,Telangana,112077.0,3.49
193,2017-09-08,Southern,590.63,549.88,62.73,53.65,111.57,66.92,Kerala,38863.0,1.18
194,2017-09-08,Southern,590.63,549.88,62.73,53.65,111.57,66.92,Puducherry,492.0,0.01
195,2017-09-08,Eastern,455.66,454.88,0.0,0.0,85.94,81.48,Odisha,155707.0,4.73
196,2017-09-08,Eastern,455.66,454.88,0.0,0.0,85.94,81.48,Bihar,94163.0,2.86
197,2017-09-08,Eastern,455.66,454.88,0.0,0.0,85.94,81.48,West Bengal,88752.0,2.7
198,2017-09-08,Eastern,455.66,454.88,0.0,0.0,85.94,81.48,Jharkhand,79714.0,2.42
200,2017-09-09,Northern,631.16,717.43,30.36,35.58,273.27,278.05,Rajasthan,342239.0,10.55
201,2017-09-09,Northern,631.16,717.43,30.36,35.58,273.27,278.05,Uttar Pradesh,240928.0,7.33
202,2017-09-09,Northern,631.16,717.43,30.36,35.58,273.27,278.05,Ladakh,59146.0,1.8
203,2017-09-09,Northern,631.16,717.43,30.36,35.58,273.27,278.05,Himachal Pradesh,55673.0,1.7
204,2017-09-09,Northern,631.16,717.43,30.36,35.58,273.27,278.05,Uttarakhand,53483.0,1.62
205,2017-09-09,Northern,631.16,717.43,30.36,35.58,273.27,278.05,Punjab,50362.0,1.53
206,2017-09-09,Northern,631.16,717.43,30.36,35.58,273.27,278.05,Haryana,44212.0,1.34
207,2017-09-09,Northern,631.16,717.43,30.36,35.58,273.27,278.05,Jammu and Kashmir,42241.0,1.28
208,2017-09-09,Northern,631.16,717.43,30.36,35.58,273.27,278.05,Delhi,1483.0,0.04
209,2017-09-09,Northern,631.16,717.43,30.36,35.58,273.27,278.05,Chandigarh,114.0,0.003
210,2017-09-09,Western,"1,128.66","1,204.61",25.17,3.87,72.0,38.57,Maharashtra,307713.0,9.36
211,2017-09-09,Western,"1,128.66","1,204.61",25.17,3.87,72.0,38.57,Gujarat,196024.0,5.96
212,2017-09-09,Western,"1,128.66","1,204.61",25.17,3.87,72.0,38.57,Goa,3702.0,0.11
213,2017-09-09,Western,"1,128.66","1,204.61",25.17,3.87,72.0,38.57,Dadra and Nagar Haveli and Daman and Diu,603.0,0.01
214,2017-09-09,Southern,589.74,549.44,62.73,53.78,111.57,72.25,Karnataka,191791.0,5.83
215,2017-09-09,Southern,589.74,549.44,62.73,53.78,111.57,72.25,Andhra Pradesh,162970.0,4.87
216,2017-09-09,Southern,589.74,549.44,62.73,53.78,111.57,72.25,Tamil Nadu,130058.0,3.95
217,2017-09-09,Southern,589.74,549.44,62.73,53.78,111.57,72.25,Telangana,112077.0,3.49
218,2017-09-09,Southern,589.74,549.44,62.73,53.78,111.57,72.25,Kerala,38863.0,1.18
219,2017-09-09,Southern,589.74,549.44,62.73,53.78,111.57,72.25,Puducherry,492.0,0.01
220,2017-09-09,Eastern,455.66,455.25,0.0,0.0,85.94,80.46,Odisha,155707.0,4.73
221,2017-09-09,Eastern,455.66,455.25,0.0,0.0,85.94,80.46,Bihar,94163.0,2.86
222,2017-09-09,Eastern,455.66,455.25,0.0,0.0,85.94,80.46,West Bengal,88752.0,2.7
223,2017-09-09,Eastern,455.66,455.25,0.0,0.0,85.94,80.46,Jharkhand,79714.0,2.42
225,2017-09-10,Northern,620.05,729.84,30.36,35.72,273.27,275.4,Rajasthan,342239.0,10.55
226,2017-09-10,Northern,620.05,729.84,30.36,35.72,273.27,275.4,Uttar Pradesh,240928.0,7.33
227,2017-09-10,Northern,620.05,729.84,30.36,35.72,273.27,275.4,Ladakh,59146.0,1.8
228,2017-09-10,Northern,620.05,729.84,30.36,35.72,273.27,275.4,Himachal Pradesh,55673.0,1.7
229,2017-09-10,Northern,620.05,729.84,30.36,35.72,273.27,275.4,Uttarakhand,53483.0,1.62
230,2017-09-10,Northern,620.05,729.84,30.36,35.72,273.27,275.4,Punjab,50362.0,1.53
231,2017-09-10,Northern,620.05,729.84,30.36,35.72,273.27,275.4,Haryana,44212.0,1.34
232,2017-09-10,Northern,620.05,729.84,30.36,35.72,273.27,275.4,Jammu and Kashmir,42241.0,1.28
233,2017-09-10,Northern,620.05,729.84,30.36,35.72,273.27,275.4,Delhi,1483.0,0.04
234,2017-09-10,Northern,620.05,729.84,30.36,35.72,273.27,275.4,Chandigarh,114.0,0.003
235,2017-09-10,Western,"1,131.56","1,218.51",25.17,3.84,72.0,33.9,Maharashtra,307713.0,9.36
236,2017-09-10,Western,"1,131.56","1,218.51",25.17,3.84,72.0,33.9,Gujarat,196024.0,5.96
237,2017-09-10,Western,"1,131.56","1,218.51",25.17,3.84,72.0,33.9,Goa,3702.0,0.11
238,2017-09-10,Western,"1,131.56","1,218.51",25.17,3.84,72.0,33.9,Dadra and Nagar Haveli and Daman and Diu,603.0,0.01
239,2017-09-10,Southern,589.74,548.38,62.73,54.52,111.57,51.99,Karnataka,191791.0,5.83
240,2017-09-10,Southern,589.74,548.38,62.73,54.52,111.57,51.99,Andhra Pradesh,162970.0,4.87
241,2017-09-10,Southern,589.74,548.38,62.73,54.52,111.57,51.99,Tamil Nadu,130058.0,3.95
242,2017-09-10,Southern,589.74,548.38,62.73,54.52,111.57,51.99,Telangana,112077.0,3.49
243,2017-09-10,Southern,589.74,548.38,62.73,54.52,111.57,51.99,Kerala,38863.0,1.18
244,2017-09-10,Southern,589.74,548.38,62.73,54.52,111.57,51.99,Puducherry,492.0,0.01
245,2017-09-10,Eastern,455.66,432.59,0.0,0.0,85.94,72.65,Odisha,155707.0,4.73
246,2017-09-10,Eastern,455.66,432.59,0.0,0.0,85.94,72.65,Bihar,94163.0,2.86
247,2017-09-10,Eastern,455.66,432.59,0.0,0.0,85.94,72.65,West Bengal,88752.0,2.7
248,2017-09-10,Eastern,455.66,432.59,0.0,0.0,85.94,72.65,Jharkhand,79714.0,2.42
250,2017-09-11,Northern,623.30,733.92,30.36,35.66,273.27,283.93,Rajasthan,342239.0,10.55
251,2017-09-11,Northern,623.30,733.92,30.36,35.66,273.27,283.93,Uttar Pradesh,240928.0,7.33
252,2017-09-11,Northern,623.30,733.92,30.36,35.66,273.27,283.93,Ladakh,59146.0,1.8
253,2017-09-11,Northern,623.30,733.92,30.36,35.66,273.27,283.93,Himachal Pradesh,55673.0,1.7
254,2017-09-11,Northern,623.30,733.92,30.36,35.66,273.27,283.93,Uttarakhand,53483.0,1.62
255,2017-09-11,Northern,623.30,733.92,30.36,35.66,273.27,283.93,Punjab,50362.0,1.53
256,2017-09-11,Northern,623.30,733.92,30.36,35.66,273.27,283.93,Haryana,44212.0,1.34
257,2017-09-11,Northern,623.30,733.92,30.36,35.66,273.27,283.93,Jammu and Kashmir,42241.0,1.28
258,2017-09-11,Northern,623.30,733.92,30.36,35.66,273.27,283.93,Delhi,1483.0,0.04
259,2017-09-11,Northern,623.30,733.92,30.36,35.66,273.27,283.93,Chandigarh,114.0,0.003
260,2017-09-11,Western,"1,131.56","1,203.65",25.17,3.82,72.0,54.72,Maharashtra,307713.0,9.36
261,2017-09-11,Western,"1,131.56","1,203.65",25.17,3.82,72.0,54.72,Gujarat,196024.0,5.96
262,2017-09-11,Western,"1,131.56","1,203.65",25.17,3.82,72.0,54.72,Goa,3702.0,0.11
263,2017-09-11,Western,"1,131.56","1,203.65",25.17,3.82,72.0,54.72,Dadra and Nagar Haveli and Daman and Diu,603.0,0.01
264,2017-09-11,Southern,589.74,574.95,62.73,54.55,111.57,83.2,Karnataka,191791.0,5.83
265,2017-09-11,Southern,589.74,574.95,62.73,54.55,111.57,83.2,Andhra Pradesh,162970.0,4.87
